Topic: http://dbpedia.org/resource/Category:Weekly_journals | Category: AcademicJournal | Count: 9 | Popularity: 42.7128
Topic: http://dbpedia.org/resource/Category:English-language_journals | Category: AcademicJournal | Count: 55 | Popularity: 14.6139
Topic: http://dbpedia.org/resource/Category:Mathematics_journals | Category: AcademicJournal | Count: 9 | Popularity: 12.6625
Topic: http://dbpedia.org/resource/Category:Bimonthly_journals | Category: AcademicJournal | Count: 8 | Popularity: 9.20876
Topic: http://dbpedia.org/resource/Category:Monthly_journals | Category: AcademicJournal | Count: 8 | Popularity: 8.09087
Topic: http://dbpedia.org/resource/Category:History_journals | Category: AcademicJournal | Count: 8 | Popularity: 7.98916
Topic: http://dbpedia.org/resource/Category:Quarterly_journals | Category: AcademicJournal | Count: 15 | Popularity: 7.41629
Topic: http://dbpedia.org/resource/Category:Football_codes | Category: Activity | Count: 8 | Popularity: 591.459
Topic: http://dbpedia.org/resource/Category:Sports_originating_in_England | Category: Activity | Count: 12 | Popularity: 406.677
Topic: http://dbpedia.org/resource/Category:Summer_Olympic_sports | Category: Activity | Count: 23 | Popularity: 254.762
Topic: http://dbpedia.org/resource/Category:Former_Summer_Olympic_sports | Category: Activity | Count: 11 | Popularity: 208.458
Topic: http://dbpedia.org/resource/Category:Ball_games | Category: Activity | Count: 36 | Popularity: 185.033
Topic: http://dbpedia.org/resource/Category:Ball_and_bat_games | Category: Activity | Count: 8 | Popularity: 163.711
Topic: http://dbpedia.org/resource/Category:Sports_originating_in_the_United_States | Category: Activity | Count: 15 | Popularity: 146.712
Topic: http://dbpedia.org/resource/Category:Climate | Category: Activity | Count: 12 | Popularity: 131.803
Topic: http://dbpedia.org/resource/Category:K%C3%B6ppen_climate_classifications | Category: Activity | Count: 14 | Popularity: 118.696
Topic: http://dbpedia.org/resource/Category:Team_sports | Category: Activity | Count: 49 | Popularity: 95.6531
Topic: http://dbpedia.org/resource/Category:Variations_of_hockey | Category: Activity | Count: 9 | Popularity: 92.3709
Topic: http://dbpedia.org/resource/Category:IOS_software | Category: Activity | Count: 8 | Popularity: 78.5037
Topic: http://dbpedia.org/resource/Category:Winter_Olympic_sports | Category: Activity | Count: 14 | Popularity: 77.1564
Topic: http://dbpedia.org/resource/Category:Articles_containing_video_clips | Category: Activity | Count: 74 | Popularity: 74.2451
Topic: http://dbpedia.org/resource/Category:Sports_rules_and_regulations | Category: Activity | Count: 8 | Popularity: 61.7146
Topic: http://dbpedia.org/resource/Category:Winter_sports | Category: Activity | Count: 18 | Popularity: 59.1876
Topic: http://dbpedia.org/resource/Category:Country_classifications | Category: Activity | Count: 19 | Popularity: 49.1436
Topic: http://dbpedia.org/resource/Category:Human_rights_abuses | Category: Activity | Count: 8 | Popularity: 46.6768
Topic: http://dbpedia.org/resource/Category:Occupations_in_music | Category: Activity | Count: 10 | Popularity: 44.7781
Topic: http://dbpedia.org/resource/Category:Individual_sports | Category: Activity | Count: 24 | Popularity: 43.6258
Topic: http://dbpedia.org/resource/Category:Ivor_Novello_Award_winners | Category: Actor | Count: 15 | Popularity: 51.7031
Topic: http://dbpedia.org/resource/Category:American_anti-communists | Category: Actor | Count: 11 | Popularity: 49.2488
Topic: http://dbpedia.org/resource/Category:American_actor-politicians | Category: Actor | Count: 10 | Popularity: 47.5929
Topic: http://dbpedia.org/resource/Category:Rock_and_Roll_Hall_of_Fame_inductees | Category: Actor | Count: 23 | Popularity: 47.3983
Topic: http://dbpedia.org/resource/Category:United_States_Army_officers | Category: Actor | Count: 8 | Popularity: 46.5297
Topic: http://dbpedia.org/resource/Category:21st-century_American_businesspeople | Category: Actor | Count: 18 | Popularity: 45.5562
Topic: http://dbpedia.org/resource/Category:English_dramatists_and_playwrights | Category: Actor | Count: 11 | Popularity: 45.0932
Topic: http://dbpedia.org/resource/Category:20th-century_American_businesspeople | Category: Actor | Count: 12 | Popularity: 44.897
Topic: http://dbpedia.org/resource/Category:Deaths_from_Alzheimer's_disease | Category: Actor | Count: 8 | Popularity: 43.9568
Topic: http://dbpedia.org/resource/Category:Brit_Award_winners | Category: Actor | Count: 28 | Popularity: 41.7657
Topic: http://dbpedia.org/resource/Category:Grammy_Lifetime_Achievement_Award_winners | Category: Actor | Count: 25 | Popularity: 41.6635
Topic: http://dbpedia.org/resource/Category:Businesspeople_from_New_York_City | Category: Actor | Count: 8 | Popularity: 41.2396
Topic: http://dbpedia.org/resource/Category:World_Music_Awards_winners | Category: Actor | Count: 25 | Popularity: 37.8773
Topic: http://dbpedia.org/resource/Category:1977_deaths | Category: Actor | Count: 9 | Popularity: 37.0121
